Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Jumanji: The Next Level,2019-12-26,69.0,"Adventure,Comedy,Fantasy", English,125000000.0,798210215.0,673210215.0
Tinker Bell and the Legend of the NeverBeast,2015-07-22,72.0,"Adventure,Animation,Family", English,73800000.0,394200421.4,320400421.4
WALL·E,2008-09-18,81.0,"Animation,Family,Science Fiction", English,180000000.0,521311860.0,341311860.0
The Hobbit: The Desolation of Smaug,2013-12-26,76.0,"Fantasy,Adventure,Action", English,250000000.0,959358436.0,709358436.0
The Blind Side,2010-02-25,77.0,Drama, English,35000000.0,305705794.0,270705794.0
The Case for Christ,2017-04-07,69.0,Drama, English,3000000.0,17966760.0,14966760.0
Unbroken: Path to Redemption,2018-09-14,69.0,Drama, English,6000000.0,6216897.0,216897.0
A Quiet Place,2018-05-21,74.0,"Horror,Drama,Science Fiction", English,17000000.0,334876670.0,317876670.0
Lilo & Stitch,2002-09-19,75.0,"Animation,Family", English,80000000.0,245799997.0,165799997.0
The Lion King II: Simba's Pride,2000-07-31,69.0,"Family,Adventure,Animation,Action", English,140700000.0,490644301.8,349944301.8
The Simpsons Movie,2007-07-27,70.0,"Animation,Comedy,Family", English,72500000.0,527071022.0,454571022.0
The Mummy Returns,2001-05-10,63.0,"Adventure,Action,Fantasy", English,98000000.0,435040395.0,337040395.0
In Time,2011-10-27,70.0,"Action,Thriller,Science Fiction", English,35000000.0,165103952.0,130103952.0
Taken 3,2015-01-08,62.0,"Thriller,Action", English,48000000.0,327656424.0,279656424.0
A Bug's Life,1998-12-03,70.0,"Adventure,Animation,Comedy,Family", English,120000000.0,363258859.0,243258859.0
Maleficent: Mistress of Evil,2019-10-17,73.0,"Family,Fantasy,Adventure,Action", English,185000000.0,489181357.0,304181357.0
Ready Player One,2018-03-29,76.0,"Science Fiction,Adventure,Action", English,150000000.0,579055653.0,429055653.0
The Second Coming of Christ,2018-03-06,36.0,"Action,Drama", English,47270000.0,329856760.8,282586760.8
